,mean_Area,sd_Area,mean_Perim.,sd_Perim.,mean_Ext.,sd_Ext.,mean_Disp.,sd_Disp.,mean_Elong.,sd_Elong.,mean_Eccentr.,sd_Eccentr.,mean_Orient.,sd_Orient.,ens_location,sample_id
1,49913.38461,41171.1032,690.5222714,290.0762712,5.554595725,0.477249165,5.067194238,0.453964904,0.48739684,0.373833018,1.26E+13,6.45E+13,-13.96616171,54.89010722,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
2,62699.94043,46036.31201,870.5475325,335.0456465,6.233935065,0.588256508,5.328727273,0.546417607,0.905246753,0.624833918,6.40E+13,1.32E+14,0.784324675,33.67960872,distal,dist-sub-CYM1-4-sam-1-4-1
3,122996.9369,607567.0083,965.3519889,1177.590558,5.983305556,0.568704105,5.405366667,0.46984752,0.577961111,0.458357151,7.69E+16,7.27E+17,-12.97371111,39.8097279,distal,dist-sub-DYF6-5-sam-6-5-1-103
4,49153.61903,64789.77945,732.2184714,538.1439458,5.6559,0.585775979,5.131757143,0.426089656,0.524133333,0.476316168,2.10E+15,2.61E+16,1.865990476,59.02183805,distal,dist-sub-DYF6-5-sam-6-5-1-104
5,47299.50442,23035.83233,746.5585789,198.0116236,6.030526316,0.685620673,5.227789474,0.462164542,0.802789474,0.636842086,1.15E+13,1.32E+13,36.35157895,48.85900417,distal,dist-sub-DYM13-6-sam-13-6-2
6,42248.67773,43063.90828,690.7114239,419.628553,5.708342391,0.627393513,5.040788043,0.46895839,0.667483696,0.579660905,3.11E+14,2.65E+15,-4.159277174,40.21961526,distal,dist-sub-DYM3-6-sam-3-6-7-001
7,64932.45237,61935.02522,865.9174237,463.5818116,6.046237288,0.604502056,5.237186441,0.507122425,0.809118644,0.693886259,1.65E+14,6.48E+14,2.158762712,43.66423273,distal,dist-sub-DYM3-6-sam-3-6-7-002
8,45296.19031,35780.82413,705.2358904,291.4520151,5.226960861,0.555314013,4.626457926,0.526402785,0.600510763,0.463941481,2.05E+13,8.02E+13,2.243771037,44.63537901,distal,dist-sub-DYM34-8-sam-34-8-5-cropped
9,63737.08497,149927.9017,768.1509587,769.6699486,5.563264463,0.611087851,5.072053719,0.429160429,0.491161157,0.476263372,1.62E+16,1.79E+17,-15.3134876,53.54274437,distal,dist-sub-DYM8-6-sam-6-8-3
10,48119.91369,55532.07892,768.233442,576.7165607,5.890463768,0.672550165,5.195471014,0.38646034,0.695028986,0.607693485,3.63E+15,2.95E+16,30.52226087,64.68564047,distal,dist-sub-DYM8-6-sam-6-8-4
11,52593.67286,59121.01672,778.322732,534.4249462,5.950329897,0.683686754,5.241876289,0.501401894,0.70843299,0.570771497,1.19E+15,8.28E+15,0.044257732,42.82412692,distal,dist-sub-DYM8-6-sam-A8-6-4
12,67591.24305,72722.52979,805.4892212,414.4893379,5.721143029,0.509060109,5.208529483,0.450778573,0.517263538,0.406762284,9.24E+13,8.50E+14,1.007998798,60.72644102,middle,mid-sub-COQF2-1-sam-2-1-2-cropped
13,47952.28122,49936.57798,726.2625342,377.2058518,5.767191781,0.574054141,5.162712329,0.515419637,0.604479452,0.524539854,4.41E+13,2.18E+14,12.08979452,52.15045901,middle,mid-sub-CYM1-4-sam-1-4-2
14,64684.41192,49978.12471,869.5166492,404.386861,5.922358871,0.643883225,5.381866935,0.46256777,0.540524194,0.475612104,3.57E+14,4.01E+15,12.7636129,56.09045547,middle,mid-sub-DYM13-8-sam-13-8-1
15,75611.96818,151649.2024,871.9949944,710.3250667,5.881174157,0.723330908,5.335662921,0.50840097,0.54552809,0.58807425,6.10E+15,5.52E+16,6.964151685,59.37569534,middle,mid-sub-DYM8-6-sam-6-8-8
16,54713.63838,48490.79559,770.0927101,384.7747305,5.865144928,0.667781275,5.14373913,0.56922945,0.721376812,0.597748277,4.98E+13,1.99E+14,19.71175362,59.95337321,middle,mid-sub-KM1-2-sam-1-2-1
17,159151.1405,175437.6272,1386.1446,894.9808354,6.60795,0.843799108,5.8901125,0.615189937,0.717825,0.576355744,8.29E+15,4.60E+16,4.1581875,68.42664602,middle,mid-sub-KM139-2-sam-139-2-1
18,52846.56237,56758.25837,756.5074068,449.6190975,5.780481579,0.612046786,5.220678947,0.489840825,0.5598,0.530196212,8.95E+14,1.20E+16,7.130689474,48.90016833,middle,mid-sub-WT1-sam-1-1
19,31560.94857,28971.62481,573.5585714,232.7357222,5.824392857,0.575718639,4.823464286,0.900319017,1.001,1.006010272,6.38E+12,2.06E+13,4.802535714,53.59085883,middle,mid-sub-WT2-sam-2-3
20,42667.3334,24857.37962,694.0558,205.3717968,5.94615,0.587628801,5.06265,0.451828714,0.88355,0.580602362,1.25E+13,1.84E+13,19.1986,44.61919726,middle,mid-sub-WT9-sam-9-1
21,34834.25983,64439.44034,594.1950089,406.2186216,5.4340625,0.565447718,4.879616071,0.442048553,0.554419643,0.460024924,6.94E+13,4.11E+14,2.706044643,58.35552094,proximal,prox-sub-CYM1-4-sam-1-4-3
22,70562.82729,63966.24177,889.2143297,475.1016335,7.205075676,0.620048249,6.669940541,0.38748895,0.535178378,0.602122573,4.45E+14,3.25E+15,-4.52692973,50.09860082,proximal,prox-sub-CYM10-6-sam-10-6-2
23,56997.34807,58355.80255,817.9156552,435.137529,4.200586207,0.710877602,3.342482759,0.492981572,0.857931034,0.546088031,1.96E+14,5.27E+14,-1.379689655,58.32700531,proximal,prox-sub-DYM12-8-sam-12-6-2
24,44453.70646,60079.19198,684.4875352,483.3233412,5.577810398,0.58015041,5.02912844,0.358148154,0.54870948,0.450290606,1.96E+15,2.69E+16,8.296856269,48.13306124,proximal,prox-sub-DYM22-7-sam-22-7-1
25,40204.9825,54351.97621,639.3197613,477.637281,4.199490323,0.670180605,3.714103226,0.476675843,0.485380645,0.469235372,9.25E+14,6.64E+15,-3.162574194,51.78030319,proximal,prox-sub-DYM3-6-sam-3-6-2
26,23866.74337,17690.96615,517.4938452,206.572541,5.430489855,0.493448916,4.904308696,0.426071768,0.526181159,0.480324045,6.48E+13,1.24E+15,-1.122434783,52.8934491,proximal,prox-sub-DYM34-8-sam-34-8-2
27,54693.02952,105115.1109,753.1530474,559.6731743,5.743515789,0.560607019,5.166936842,0.438862185,0.576468421,0.464946929,4.72E+15,4.61E+16,0.902021053,56.47854389,proximal,prox-sub-DYM34-8-sam-34-8-3-left
28,74927.23967,79871.40702,901.2256974,435.1949161,6.019657895,0.502169929,5.395677632,0.523978193,0.623967105,0.509959542,1.48E+14,9.73E+14,-8.568559211,52.43903837,proximal,prox-sub-DYM34-8-sam-34-8-3-right
29,30687.13112,27261.28995,581.9834714,247.1218114,5.511343612,0.51165154,5.015394273,0.442170995,0.495933921,0.444366305,7.30E+13,1.28E+15,0.890334802,49.28456871,proximal,prox-sub-DYM34-8-sam-34-8-6
30,40708.68594,37487.33366,683.4026523,409.0359053,5.651383513,0.595799922,5.095867384,0.402567435,0.555566308,0.533265205,1.03E+15,1.17E+16,12.16989247,61.06225759,proximal,prox-sub-DYM5-7-sam-5-7-2
31,118418.7944,178915.7642,1158.480017,1008.602296,5.222830508,0.771843877,4.62059322,0.475563264,0.602237288,0.632816047,3.03E+16,1.49E+17,11.75459322,60.67847007,proximal,prox-sub-DYM8-6-sam-6-8-6-001
32,158266.575,375309.4985,1225.525706,1265.607289,5.221714286,0.66846363,4.645020408,0.462963259,0.576714286,0.554606542,2.10E+16,1.26E+17,12.21242857,54.94559504,proximal,prox-sub-DYM8-6-sam-6-8-6-002
33,29378.83084,19610.2385,588.3214839,183.7020334,5.89883871,0.707589481,4.930451613,0.497422345,0.968387097,0.889973283,3.24E+12,4.19E+12,4.753935484,62.05693604,proximal,prox-sub-KF67-2-sam-67-2
34,58061.55935,74769.10692,824.2568304,620.5311664,3.766240385,1.397151773,2.843431373,2.866618812,1.005764706,2.321317649,3.57E+15,1.96E+16,-13.21744231,50.7679789,proximal,prox-sub-KYM3-1-sam-3-1-2
35,16434.96743,10107.02035,433.854449,137.7368677,5.32544898,0.571951632,4.731836735,0.416861205,0.59344898,0.460649182,7.39E+11,2.04E+12,19.17383673,50.34439235,proximal,prox-sub-VOQM8-1-sam-8-1-1-small
36,44293.64755,80794.73995,671.2310422,529.6398529,5.502146104,0.590176677,5.027045455,0.409024514,0.475038961,0.431778458,2.39E+15,2.68E+16,-0.975334416,51.15208907,proximal,prox-sub-VOQM8-1-sam-8-1-1
