,spp_r,spp_hc,spp_gamma,ens_location,sample_id
1,0.003971632,0.000471407,3.703058156,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
2,0.004756048,0.002121761,4.171177115,distal,dist-sub-CYM1-4-sam-1-4-1
3,0.004466847,0.000940879,4.333668703,distal,dist-sub-DYF6-5-sam-6-5-1-103
4,0.004669861,0.001200013,3.684181648,distal,dist-sub-DYF6-5-sam-6-5-1-104
5,0.002662139,0.001615969,26.80941554,distal,dist-sub-DYM13-6-sam-13-6-2
6,0.004183299,0.000743867,4.312401604,distal,dist-sub-DYM3-6-sam-3-6-7-001
7,0.002055506,0.001046247,16.49568389,distal,dist-sub-DYM3-6-sam-3-6-7-002
8,0.005124975,0.000490061,3.045397612,distal,dist-sub-DYM34-8-sam-34-8-5-cropped
9,0.058149178,0.000665798,1.082418139,distal,dist-sub-DYM8-6-sam-6-8-3
10,0.002202918,0.00119843,6.694809664,distal,dist-sub-DYM8-6-sam-6-8-4
11,0.001746011,0.000742125,14.11600022,distal,dist-sub-DYM8-6-sam-A8-6-4
12,0.004093998,0.000666579,3.990767601,middle,mid-sub-COQF2-1-sam-2-1-2-cropped
13,0.004374403,0.000937286,4.438630367,middle,mid-sub-CYM1-4-sam-1-4-2
14,0.003385925,0.00074419,5.059070622,middle,mid-sub-DYM13-8-sam-13-8-1
15,0.005121077,0.000940824,4.18968188,middle,mid-sub-DYM8-6-sam-6-8-8
16,0.003651006,0.000936997,4.26852277,middle,mid-sub-KM1-2-sam-1-2-1
17,0.017764368,0.000937526,1.725138851,middle,mid-sub-KM139-2-sam-139-2-1
18,0.005611384,0.000666307,3.275500354,middle,mid-sub-WT1-sam-1-1
19,0.002377275,0.00135177,12.24030543,middle,mid-sub-WT2-sam-2-3
20,0.023353862,0.008242891,0.49992838,middle,mid-sub-WT9-sam-9-1
21,0.004471004,0.001050597,4.033473625,proximal,prox-sub-CYM1-4-sam-1-4-3
22,0.007413722,0.001488299,2.833708118,proximal,prox-sub-CYM10-6-sam-10-6-2
23,0.002467077,0.00094217,11.5641773,proximal,prox-sub-DYM12-8-sam-12-6-2
24,0.003280979,0.000666174,5.058165437,proximal,prox-sub-DYM22-7-sam-22-7-1
25,0.002253302,0.000371623,5.364110364,proximal,prox-sub-DYM3-6-sam-3-6-2
26,0.003651022,0.000471276,3.30211517,proximal,prox-sub-DYM34-8-sam-34-8-2
27,0.003246395,0.000940728,5.341036928,proximal,prox-sub-DYM34-8-sam-34-8-3-left
28,0.005772667,0.000743221,2.876438066,proximal,prox-sub-DYM34-8-sam-34-8-3-right
29,0.003800011,0.000666225,4.100110579,proximal,prox-sub-DYM34-8-sam-34-8-6
30,0.003911749,0.000665773,3.31039575,proximal,prox-sub-DYM5-7-sam-5-7-2
31,0.004142148,0.000596214,8.500549714,proximal,prox-sub-DYM8-6-sam-6-8-6-001
32,0.005607638,0.000369169,5.119904975,proximal,prox-sub-DYM8-6-sam-6-8-6-002
33,0.001944821,0.000927949,13.8028264,proximal,prox-sub-KF67-2-sam-67-2
34,0.004897202,0.000849013,4.755835316,proximal,prox-sub-KYM3-1-sam-3-1-2
35,0.001944821,0.000934662,8.575192041,proximal,prox-sub-VOQM8-1-sam-8-1-1-small
36,0.00333643,0.000744772,3.836454543,proximal,prox-sub-VOQM8-1-sam-8-1-1
